epoch,loss,mean_IOU,val_loss,val_mean_IOU
0,0.431618353233546,,0.3384968685629184,
1,0.3694150693108591,,0.3096493642295947,
2,0.3514970057807552,,0.29750758293132545,
3,0.31584009839831684,,0.27752826275763576,
4,0.26063809420096085,,0.25784261346433723,
5,0.2486341125901562,,0.2527190039032384,
6,0.2389417350984809,,0.2463802134354617,
7,0.2325702981026468,,0.2475845194482184,
8,0.2255415346063495,,0.2423472568667758,
9,0.2205487953744681,,0.23639562288050936,
10,0.218290146784023,,0.2383468787472947,
11,0.21592507228733984,,0.23482073013373456,
12,0.21699090738941854,,0.2330310911408696,
13,0.2110909604081045,,0.23217405392059465,
14,0.20891069112598934,,0.23171005107243425,
15,0.2088857919731453,,0.22940966632453974,
16,0.20613698033655412,,0.2319066784435645,
17,0.2065525092413714,,0.2324477744696793,
18,0.2059300990440384,,0.22969467300216345,
19,0.20621429688296572,,0.23000662911859016,
20,0.2031142849752696,,0.2321451399233434,
